age,diagnosis_code,max_frequency
0,V20.2,144388
1,V20.2,54298
2,382.900000,72800
3,V20.2,48738
4,382.900000,12547
5,V20.2,40079
6,381.810000,7526
7,V20.2,17284
8,V20.2,17314
9,V20.2,14998
10,V20.2,10611
11,V20.2,10563
12,V20.2,9960
13,V20.2,8213
14,V20.2,4170
15,V20.2,2123
16,V20.2,2759
17,V20.2,2615
18,389.180000,1506
19,277.000000,1245
20,389.180000,646
21,277.000000,388
22,277.000000,747
23,277.020000,527
24,277.020000,482
25,E84.0,221
26,E84.0,258
27,E84.0,346
28,277.000000,224
29,277.000000,140
30,277.020000,83
31,277.020000,110
32,277.020000,96
33,277.020000,84
34,E84.0,96
35,277.020000,110
36,E84.0,71
37,277.000000,30
38,384.200000,26
39,282.490000,65
40,282.490000,42
41,282.490000,44
42,H65.33,33
43,275.020000,83
44,275.020000,51
45,275.020000,35
46,275.020000,13
47,275.020000,22
48,277.020000,30
49,191.900000,40
50,275.020000,35
51,275.020000,26
51,381.810000,26
52,E84.0,26
53,H90.6,14
54,H90.6,8
55,H72.92,9
56,381.810000,10
57,H69.93,2
57,H83.12,2
57,H92.09,2
57,389.030000,2
57,H69.83,2
57,M26.69,2
57,427.810000,2
57,724.200000,2
57,H90.71,2
57,381.810000,2
57,K21.9,2
57,784.700000,2
57,M79.1,2
57,R42,2
57,724.400000,2
57,Z01.10,2
57,724.300000,2
58,H90.3,10
58,389.200000,10
59,384.200000,6
59,389.030000,6
59,389.020000,6
59,H69.83,6
59,381.810000,6
59,385.320000,6
60,389.200000,11
61,389.200000,7
61,381.100000,7
62,237.720000,14
63,225.100000,18
64,389.180000,8
65,381.810000,14
66,381.810000,30
67,381.810000,8
68,381.810000,11
69,381.810000,16
70,383.300000,8
71,381.810000,6
72,H93.292,6
72,H90.8,6
72,H83.12,6
73,H69.83,14
74,H69.00,2
74,381.700000,2
74,H93.292,2
74,380.400000,2
74,388.400000,2
74,H90.3,2
74,H61.22,2
74,H69.02,2
75,H90.3,2
75,362.740000,2
75,H69.02,2
75,H35.52,2
75,381.700000,2
75,Z87.898,2
76,H90.3,6
77,H69.03,6
78,H69.02,1
78,381.700000,1
79,H90.3,4
79,H93.13,4
81,H90.3,2
81,381.700000,2
81,H69.03,2
81,H69.00,2
83,381.810000,4
83,389.100000,4
83,381.700000,4
84,389.100000,10
84,381.700000,10
85,381.700000,6
